2025/05/16 11:05:52 main.go:23: File.sh server starting up...
2025/05/16 11:05:52 main.go:43: Connecting to storage backend (localhost:9000)...
2025/05/16 11:05:52 main.go:48: Successfully connected to storage backend, bucket: filesh
2025/05/16 11:05:52 main.go:99: Starting server on :8080
2025/05/16 11:05:52 main.go:100: Frontend CORS origin: http://localhost:5173
2025/05/16 11:06:22 main.go:147: [API] HEAD /api/download/2038030f-1082-4615-8a01-14d2ae7c527e/38 404 1.0001ms
2025/05/16 11:06:22 main.go:147: [API] HEAD /api/download/2038030f-1082-4615-8a01-14d2ae7c527e/40 404 1.0001ms
2025/05/16 11:06:22 main.go:147: [API] HEAD /api/download/2038030f-1082-4615-8a01-14d2ae7c527e/37 404 1.0001ms
2025/05/16 11:06:22 main.go:147: [API] HEAD /api/download/2038030f-1082-4615-8a01-14d2ae7c527e/42 404 1.0011ms
2025/05/16 11:06:22 main.go:147: [API] HEAD /api/download/2038030f-1082-4615-8a01-14d2ae7c527e/46 404 500.8µs
2025/05/16 11:06:22 main.go:147: [API] HEAD /api/download/2038030f-1082-4615-8a01-14d2ae7c527e/45 404 500.8µs
2025/05/16 11:06:22 main.go:147: [API] HEAD /api/download/2038030f-1082-4615-8a01-14d2ae7c527e/48 404 500.8µs
2025/05/16 11:06:22 main.go:147: [API] HEAD /api/download/2038030f-1082-4615-8a01-14d2ae7c527e/47 404 500.8µs
2025/05/16 11:06:22 main.go:147: [API] HEAD /api/download/2038030f-1082-4615-8a01-14d2ae7c527e/43 404 1.1903ms
2025/05/16 11:06:22 main.go:147: [API] HEAD /api/download/2038030f-1082-4615-8a01-14d2ae7c527e/44 404 1.1903ms
2025/05/16 11:06:22 main.go:147: [API] HEAD /api/download/2038030f-1082-4615-8a01-14d2ae7c527e/52 404 497.8µs
2025/05/16 11:06:22 main.go:147: [API] HEAD /api/download/2038030f-1082-4615-8a01-14d2ae7c527e/51 404 1.0063ms
2025/05/16 11:06:22 main.go:147: [API] HEAD /api/download/2038030f-1082-4615-8a01-14d2ae7c527e/54 404 999.2µs
2025/05/16 11:06:22 main.go:147: [API] HEAD /api/download/2038030f-1082-4615-8a01-14d2ae7c527e/53 404 999.2µs
2025/05/16 11:06:22 main.go:147: [API] HEAD /api/download/2038030f-1082-4615-8a01-14d2ae7c527e/50 404 1.5077ms
2025/05/16 11:06:22 main.go:147: [API] HEAD /api/download/2038030f-1082-4615-8a01-14d2ae7c527e/49 404 1.5077ms
2025/05/16 11:06:22 main.go:147: [API] HEAD /api/download/2038030f-1082-4615-8a01-14d2ae7c527e/55 404 507.3µs
2025/05/16 11:06:22 main.go:147: [API] HEAD /api/download/2038030f-1082-4615-8a01-14d2ae7c527e/56 404 999.9µs
2025/05/16 11:06:22 main.go:147: [API] HEAD /api/download/2038030f-1082-4615-8a01-14d2ae7c527e/57 404 999.9µs
2025/05/16 11:06:22 main.go:147: [API] HEAD /api/download/2038030f-1082-4615-8a01-14d2ae7c527e/59 404 1.4976ms
2025/05/16 11:06:22 main.go:147: [API] HEAD /api/download/2038030f-1082-4615-8a01-14d2ae7c527e/60 404 497.7µs
2025/05/16 11:06:22 main.go:147: [API] HEAD /api/download/2038030f-1082-4615-8a01-14d2ae7c527e/58 404 997.5µs
2025/05/16 11:06:22 main.go:147: [API] HEAD /api/download/2038030f-1082-4615-8a01-14d2ae7c527e/61 404 1.9142ms
2025/05/16 11:06:22 main.go:147: [API] HEAD /api/download/2038030f-1082-4615-8a01-14d2ae7c527e/64 404 1.0716ms
2025/05/16 11:06:22 main.go:147: [API] HEAD /api/download/2038030f-1082-4615-8a01-14d2ae7c527e/62 404 1.0716ms
2025/05/16 11:06:22 main.go:147: [API] HEAD /api/download/2038030f-1082-4615-8a01-14d2ae7c527e/63 404 1.5794ms
2025/05/16 11:06:22 main.go:147: [API] HEAD /api/download/2038030f-1082-4615-8a01-14d2ae7c527e/65 404 1.0756ms
2025/05/16 11:06:22 main.go:147: [API] HEAD /api/download/2038030f-1082-4615-8a01-14d2ae7c527e/66 404 1.0107ms
2025/05/16 11:06:22 main.go:147: [API] HEAD /api/download/2038030f-1082-4615-8a01-14d2ae7c527e/67 404 1.0663ms
2025/05/16 11:06:22 main.go:147: [API] HEAD /api/download/2038030f-1082-4615-8a01-14d2ae7c527e/68 404 1.4498ms
2025/05/16 11:06:22 main.go:147: [API] HEAD /api/download/2038030f-1082-4615-8a01-14d2ae7c527e/70 404 947µs
